"id","cod_operacion","medio_pago","suma_prod","cant_prods","valor_compra","pagado","cambio","procesada","created_at","updated_at"
25,"8",1,1,"[""1""]","$3.200,00","3.200","$0,00",1,"2022-07-05 20:05:49.0","2022-07-05 20:05:49.0"
26,"711376",2,1,"[""1""]","$1.800,00","0","0",1,"2022-07-06 13:20:08.0","2022-07-06 13:20:08.0"
27,"9",1,2,"[""1"", ""1""]","$500,00","500","$0,00",1,"2022-07-06 13:23:30.0","2022-07-06 13:23:30.0"
28,"945905",2,5,"[""4"", ""1""]","$4.000,00","0","0",1,"2022-07-06 14:15:46.0","2022-07-06 14:15:46.0"
29,"10",1,1,"[""1""]","$1.000,00","1.000","$0,00",1,"2022-07-06 16:08:17.0","2022-07-06 16:08:17.0"
30,"515062",2,2,"[""1"", ""1""]","$2.500,00","0","0",1,"2022-07-06 16:58:30.0","2022-07-06 16:58:30.0"
31,"003331",2,2,"[""1"", ""1""]","$2.200,00","0","0",1,"2022-07-06 17:02:33.0","2022-07-06 17:02:33.0"
32,"003331",2,1,"[""1""]","$300,00","0","0",1,"2022-07-06 17:13:24.0","2022-07-06 17:13:24.0"
33,"221194",2,1,"[""1""]","$1.500,00","0","0",1,"2022-07-06 18:53:56.0","2022-07-06 18:53:56.0"
34,"104777",2,2,"[""1"", ""1""]","$2.700,00","0","0",1,"2022-07-08 13:34:06.0","2022-07-08 13:34:06.0"
35,"11",1,1,"[""1""]","$1.500,00","2.000","$500,00",1,"2022-07-08 13:35:37.0","2022-07-08 13:35:37.0"
36,"12",1,1,"[""1""]","$600,00","1.000","$400,00",1,"2022-07-08 17:38:55.0","2022-07-08 17:38:55.0"
37,"13",1,4,"[""4""]","$3.200,00","5.000","$1.800,00",1,"2022-07-08 18:20:06.0","2022-07-08 18:20:06.0"
38,"14",1,1,"[""1""]","$1.000,00","1.000","$0,00",1,"2022-07-08 18:21:14.0","2022-07-08 18:21:14.0"
39,"15",1,1,"[""1""]","$600,00","1.000","$400,00",1,"2022-07-08 18:21:46.0","2022-07-08 18:21:46.0"
40,"347429",2,3,"[""1"", ""2""]","$3.300,00","0","0",1,"2022-07-12 09:46:35.0","2022-07-12 09:46:35.0"
41,"16",1,1,"[""1""]","$1.500,00","2.000","$500,00",1,"2022-07-12 10:26:39.0","2022-07-12 10:26:39.0"
